Date,Close,High,Low,Open,Volume
2024-09-26,2669.89990234375,2669.89990234375,2660.800048828125,2662.300048828125,17216
2024-09-27,2644.300048828125,2672.10009765625,2641.699951171875,2670.0,4228
2024-09-30,2636.10009765625,2662.10009765625,2623.199951171875,2660.89990234375,973
2024-10-01,2667.300048828125,2670.89990234375,2631.39990234375,2631.39990234375,153
2024-10-02,2647.10009765625,2657.199951171875,2640.0,2650.60009765625,72
2024-10-03,2657.10009765625,2657.10009765625,2640.0,2642.800048828125,354
2024-10-04,2645.800048828125,2667.0,2639.0,2656.0,114
2024-10-07,2644.800048828125,2657.39990234375,2639.0,2648.699951171875,284
2024-10-08,2615.0,2639.0,2609.300048828125,2639.0,687
2024-10-09,2606.0,2607.699951171875,2603.0,2603.0,152
2024-10-10,2620.60009765625,2628.300048828125,2602.5,2602.5,320
2024-10-11,2657.60009765625,2658.10009765625,2638.199951171875,2638.300048828125,12
2024-10-14,2647.800048828125,2655.300048828125,2647.800048828125,2655.0,40
2024-10-15,2661.39990234375,2661.39990234375,2661.39990234375,2661.39990234375,39
2024-10-16,2674.0,2674.0,2674.0,2674.0,6
2024-10-17,2691.0,2691.699951171875,2677.199951171875,2677.39990234375,30
2024-10-18,2713.699951171875,2719.60009765625,2713.699951171875,2713.699951171875,29
2024-10-21,2723.10009765625,2738.39990234375,2719.5,2721.89990234375,52
2024-10-22,2744.199951171875,2746.0,2728.60009765625,2731.699951171875,93
2024-10-23,2714.39990234375,2742.5,2714.199951171875,2742.5,18
2024-10-24,2734.89990234375,2736.10009765625,2729.0,2729.0,27
2024-10-25,2740.89990234375,2742.39990234375,2725.5,2725.5,29
2024-10-28,2742.89990234375,2742.89990234375,2729.5,2736.10009765625,56
2024-10-29,2768.39990234375,2768.39990234375,2768.39990234375,2768.39990234375,848
2024-10-30,2788.5,2789.0,2774.60009765625,2774.60009765625,231
2024-10-31,2738.300048828125,2787.5,2733.5,2787.39990234375,849
2024-11-01,2738.60009765625,2756.0,2734.199951171875,2745.5,109
2024-11-04,2736.10009765625,2737.10009765625,2736.10009765625,2736.5,16
2024-11-05,2740.300048828125,2743.89990234375,2740.300048828125,2743.0,23
2024-11-06,2667.60009765625,2734.5,2659.39990234375,2734.5,427
2024-11-07,2698.39990234375,2699.10009765625,2662.5,2662.5,676
2024-11-08,2687.5,2694.60009765625,2682.89990234375,2688.5,1038
2024-11-11,2611.199951171875,2671.699951171875,2611.199951171875,2671.699951171875,20
2024-11-12,2600.0,2605.5,2592.800048828125,2605.5,118
2024-11-13,2580.800048828125,2611.800048828125,2580.800048828125,2611.10009765625,53
2024-11-14,2568.199951171875,2576.199951171875,2554.199951171875,2555.10009765625,27
2024-11-15,2565.699951171875,2565.699951171875,2565.699951171875,2565.699951171875,20
2024-11-18,2610.60009765625,2610.699951171875,2589.39990234375,2591.699951171875,136
2024-11-19,2627.10009765625,2627.699951171875,2619.300048828125,2621.89990234375,87
2024-11-20,2648.199951171875,2648.199951171875,2638.5,2638.5,27
2024-11-21,2672.10009765625,2672.10009765625,2655.699951171875,2659.300048828125,33
2024-11-22,2709.89990234375,2710.5,2685.60009765625,2687.5,41
2024-11-25,2616.800048828125,2689.39990234375,2616.800048828125,2689.39990234375,94
2024-11-26,2620.300048828125,2625.60009765625,2620.300048828125,2625.60009765625,177858
2024-11-27,2639.89990234375,2657.89990234375,2627.199951171875,2633.5,61653
2024-11-29,2657.0,2664.300048828125,2620.699951171875,2636.39990234375,3861
2024-12-02,2634.89990234375,2649.800048828125,2621.699951171875,2649.0,695
2024-12-03,2644.699951171875,2654.699951171875,2636.0,2639.0,1062
2024-12-04,2653.800048828125,2658.300048828125,2637.0,2639.199951171875,249
2024-12-05,2626.60009765625,2655.0,2625.699951171875,2652.39990234375,573
2024-12-06,2638.60009765625,2643.10009765625,2617.5,2620.199951171875,571
2024-12-09,2664.89990234375,2677.10009765625,2630.800048828125,2632.10009765625,935
2024-12-10,2697.60009765625,2698.199951171875,2661.0,2662.300048828125,437
2024-12-11,2733.800048828125,2733.800048828125,2693.10009765625,2701.800048828125,3387
2024-12-12,2687.5,2725.10009765625,2677.39990234375,2725.10009765625,2365
2024-12-13,2656.0,2689.300048828125,2647.89990234375,2688.199951171875,1125
2024-12-16,2651.39990234375,2663.300048828125,2651.0,2658.300048828125,877
2024-12-17,2644.39990234375,2652.300048828125,2632.5,2651.800048828125,705
2024-12-18,2636.5,2647.10009765625,2590.199951171875,2644.300048828125,566
2024-12-19,2592.199951171875,2610.300048828125,2582.10009765625,2582.10009765625,238
2024-12-20,2628.699951171875,2631.60009765625,2604.89990234375,2605.300048828125,592
2024-12-23,2612.300048828125,2627.699951171875,2611.10009765625,2620.0,451
2024-12-24,2620.0,2620.0,2609.5,2613.0,35
2024-12-26,2638.800048828125,2638.800048828125,2627.89990234375,2628.5,84
2024-12-27,2617.199951171875,2617.699951171875,2616.39990234375,2617.699951171875,642
2024-12-30,2606.10009765625,2626.89990234375,2597.0,2620.699951171875,794
2024-12-31,2629.199951171875,2629.199951171875,2604.89990234375,2608.39990234375,401
2025-01-02,2658.89990234375,2663.10009765625,2633.0,2633.0,1728
2025-01-03,2645.0,2658.699951171875,2641.800048828125,2658.699951171875,591
2025-01-06,2638.39990234375,2647.0,2617.300048828125,2645.5,960
2025-01-07,2656.699951171875,2657.5,2653.0,2653.39990234375,643
2025-01-08,2664.5,2676.89990234375,2653.5,2655.5,999
2025-01-09,2683.800048828125,2686.300048828125,2667.89990234375,2669.699951171875,1139
2025-01-10,2708.5,2720.10009765625,2683.699951171875,2686.10009765625,403
2025-01-13,2673.5,2711.199951171875,2673.5,2711.10009765625,765
2025-01-14,2677.5,2688.300048828125,2670.800048828125,2673.60009765625,794
2025-01-15,2712.5,2712.5,2690.800048828125,2690.800048828125,930
2025-01-16,2746.39990234375,2749.800048828125,2731.699951171875,2731.699951171875,1721
2025-01-17,2744.300048828125,2751.60009765625,2725.5,2736.0,1214
2025-01-21,2755.0,2755.0,2724.800048828125,2746.0,1439
2025-01-22,2767.60009765625,2768.800048828125,2753.5,2754.5,2079
2025-01-23,2763.10009765625,2765.0,2745.39990234375,2760.0,2201
2025-01-24,2777.300048828125,2792.0,2759.800048828125,2759.800048828125,1593
2025-01-27,2737.5,2762.199951171875,2737.5,2761.10009765625,984
2025-01-28,2766.800048828125,2766.800048828125,2738.0,2738.0,2307
2025-01-29,2769.10009765625,2769.10009765625,2769.10009765625,2769.10009765625,125692
2025-01-30,2823.0,2829.5,2770.0,2772.5,40141
2025-01-31,2812.5,2838.0,2804.0,2829.0,3443
